"Grade of Steel","Automotive application","Scrap Steel (%)","DRI or Pig Iron (%)","Iron Ore (%)","Phosphorus (%)","Carbon (%)","Melting Time (EAF)","Production Volume",Yield,"BF Stage Cycle Time","EAF Stage Cycle Time","LRF Stage Cycle Time","Total Cycle Time","BF Electricity (kWh)","EAF Electricity (kWh)","LRF Electricity (kWh)","Total Electricity Consumption (kWh)","Original Cost per Ton","New Scrap Steel (%)","New DRI or Pig Iron (%)","New Iron Ore (%)","New Electricity Consumption (kWh) Total","BF Electricity (kWh) (New)","EAF Electricity (kWh) (New)","LRF Electricity (kWh) (New)","Estimated Cost per Ton ($)"
S550QL,"Structural reinforcements, crash-resistant parts",60,35,5,0.01,0.35,"2.5 hours","800 tons",0.92,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,65,30,5,1500,600,600,300,$290
S600QL,"High-strength steel for crash structures",70,25,5,0.02,0.4,"2.7 hours","850 tons",0.94,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1200,480,480,240,$260
S650QL,"Structural parts requiring high strength",75,20,5,0.03,0.45,"1.8 hours","600 tons",0.85,"1.4 hours","1.4 hours","0.7 hours","3.5 hours",480,480,240,1200,$270,70,25,5,1500,600,600,300,$290
S700QL,"Safety components, reinforcements",60,35,5,0.02,0.5,"2.0 hours","700 tons",0.9,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,65,30,5,1500,600,600,300,$290
S960QL,"Ultra-high-strength structural components",65,30,5,0.01,0.55,"2.3 hours","750 tons",0.88,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,70,25,5,1200,480,480,240,$260
S1100QL,"Ultra-high-strength steel for safety components",70,25,5,0.02,0.6,"2.5 hours","800 tons",0.92,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,75,20,5,1200,480,480,240,$260
HC220P,"Low-alloy steel for structural components",75,20,5,0.03,0.65,"2.7 hours","850 tons",0.94,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,80,15,5,1100,440,400,260,$275
HC260P,"Structural components, chassis",60,35,5,0.01,0.7,"2.0 hours","700 tons",0.9,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,65,30,5,1500,600,600,300,$290
HC300P,"High-strength low-alloy steel for body panels",65,30,5,0.02,0.75,"2.3 hours","750 tons",0.88,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,70,25,5,1200,480,480,240,$260
HC340P,"Structural components, crash reinforcements",70,25,5,0.03,0.8,"2.5 hours","800 tons",0.92,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,75,20,5,1200,480,480,240,$260
HC380P,"High-strength structural steel for chassis",75,20,5,0.01,0.85,"2.7 hours","850 tons",0.94,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,80,15,5,1100,440,400,260,$275
HC420P,"Safety components, structural reinforcements",60,35,5,0.02,0.18,"2.0 hours","700 tons",0.9,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,65,30,5,1500,600,600,300,$290
HC460P,"High-strength structural steel",70,25,5,0.03,0.2,"2.3 hours","750 tons",0.88,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,75,20,5,1200,480,480,240,$260
HC500P,"Ultra-high-strength steel for crash structures",75,20,5,0.01,0.22,"2.5 hours","800 tons",0.92,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,80,15,5,1100,440,400,260,$275
HC550P,"Structural components, safety parts",60,35,5,0.02,0.25,"2.7 hours","850 tons",0.94,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,65,30,5,1500,600,600,300,$290
DP980,"Dual-phase steel for structural components",70,25,5,0.03,0.3,"2.0 hours","700 tons",0.9,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,75,20,5,1200,480,480,240,$260
DP1180,"Body panels, reinforcements",65,30,5,0.01,0.35,"2.3 hours","750 tons",0.88,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,70,25,5,1200,480,480,240,$260
DP1200,"Structural parts, side-impact beams",60,35,5,0.02,0.3,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,65,30,5,1500,600,600,300,$290
DP1600,"High-strength structural components",65,30,5,0.03,0.35,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,70,25,5,1200,480,480,240,$260
DP1800,"Structural reinforcements, crash-resistant parts",70,25,5,0.01,0.4,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,75,20,5,1200,480,480,240,$260
DP2000,"Ultra-high-strength structural components",75,20,5,0.03,0.45,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,80,15,5,1100,440,400,260,$275
DP2200,"Safety components, crash reinforcements",60,35,5,0.02,0.5,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,65,30,5,1500,600,600,300,$290
DP2500,"Ultra-high-strength steel for safety components",65,30,5,0.03,0.55,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,70,25,5,1200,480,480,240,$260
TRIP1200,"Body panels, door reinforcements",70,25,5,0.01,0.6,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,75,20,5,1200,480,480,240,$260
TRIP1500,"Structural parts, crash reinforcements",75,20,5,0.03,0.65,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,80,15,5,1100,440,400,260,$275
TRIP1700,"High-strength structural components",60,35,5,0.02,0.7,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
TRIP2000,"Structural reinforcements, safety parts",65,30,5,0.03,0.75,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
TRIP2200,"Ultra-high-strength structural components",70,25,5,0.01,0.8,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
TRIP2500,"Crash-resistant structures, safety components",75,20,5,0.03,0.85,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
QStE700TM,"Structural steel for frame parts",13,35,5,0.02,0.9,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
QStE750TM,"Structural steel for chassis components",65,30,5,0.03,0.95,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
QStE800TM,"High-strength structural steel",70,25,5,0.01,1,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
QStE850TM,"Structural components, high-stress parts",75,20,5,0.03,1.05,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
QStE900TM,"High-strength steel for safety components",60,35,5,0.02,1.1,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
QStE950TM,"Structural reinforcements, crash-resistant parts",65,30,5,0.03,1.15,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
QStE1000TM,"High-strength steel for crash structures",70,25,5,0.01,1.2,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
QStE1050TM,"Structural parts requiring high strength",75,20,5,0.03,1.25,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
QStE1100TM,"Safety components, reinforcements",60,35,5,0.02,1.3,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
22MnB5,"Hot-stamped components like B-pillars, bumpers",80,30,5,0.03,1.35,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
30MnB5,"Structural parts requiring high strength",80,25,5,0.01,1.4,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
34MnB5,"High-strength structural steel",80,20,5,0.02,1.45,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
38MnB5,"Structural reinforcements, high-stress parts",13,35,5,0.03,1.5,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
40MnB5,"Structural steel for crash structures",13,30,5,0.01,1.55,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
16MnCr5,"Gears, shafts, high-stress components",80,25,5,0.02,1.6,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
20MnCr5,"Structural components, gears, axles",80,20,5,0.03,1.65,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
18CrNiMo7-6,"High-strength gears, heavy-duty axles",80,35,5,0.01,1.7,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
20CrMo5,"Structural components, gears, axles",80,30,5,0.02,1.75,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
30CrMo5,"High-stress components, gears",80,25,5,0.03,1.8,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
34CrMo4,"Structural components, shafts",80,20,5,0.01,1.85,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
42CrMo4,"High-stress components, gears, axles",80,35,5,0.02,1.9,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
50CrMo4,"Structural components, high-strength parts",80,30,5,0.03,1.95,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
36CrNiMo4,"Structural components, gears, shafts",80,25,5,0.01,2,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
34CrNiMo6,"High-strength components, gears",80,20,5,0.02,2.05,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
40CrNiMo6,"Structural parts requiring high strength",13,35,5,0.03,2.1,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
18Cr2Ni4WA,"Gears, high-strength components",80,30,5,0.01,2.15,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
20Cr2Ni4,"High-stress components, gears",80,25,5,0.02,2.2,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
40CrMnMoS8-6,"Structural components, gears, shafts",80,20,5,0.03,2.25,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
15B21,"High-strength structural components",80,35,5,0.01,2.3,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
30B21,"Structural reinforcements, high-stress parts",80,30,5,0.02,2.35,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
35B23,"Structural steel for crash structures",80,25,5,0.03,2.4,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",720,720,360,1800,$300,70,25,5,1600,640,640,320,$285
10B21,"Structural parts requiring high strength",13,20,5,0.01,2.45,"2.7 hours","850 tons",94%,"2.2 hours","2.2 hours","1.1 hours","5.5 hours",780,780,390,1950,$310,75,20,5,1820,728,728,364,$300
35B25,"Safety components, reinforcements",13,35,5,0.02,0.3,"2.0 hours","700 tons",90%,"1.6 hours","1.6 hours","0.8 hours","4.0 hours",560,560,280,1400,$280,60,35,5,1350,540,540,270,$280
45B27,"Ultra-high-strength structural components",13,30,5,0.03,0.35,"2.3 hours","750 tons",88%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",600,600,300,1500,$290,65,30,5,1500,600,600,300,$290
50B25,"Ultra-high-strength steel for safety components",13,60,15,0.02,0.25,"2.5 hours","800 tons",92%,"2.0 hours","2.0 hours","1.0 hours","5.0 hours",700,700,350,1750,$300,25,60,15,1500,600,600,300,$290
"AISI 1215","Machined components, fasteners",70,25,5,0.02,0.15,"2.0 hours","450 tons",95%,"1.8 hours","1.8 hours","0.9 hours","4.5 hours",700,700,350,1750,$350,70,25,5,1500,600,600,300,$350
